1,21
0,20
0,18
1,17
2,18
2,20
1,19
-2,20
-3,19
-3,17
-2,16
-1,17
-1,19
-2,18
3,17
2,16
2,14
3,13
4,14
4,16
3,15
1,15
0,16
-1,15
-2,14
-3,15
-4,14
-4,12
-3,13
3,19
4,18
5,17
6,16
7,15
6,14
5,15
4,12
5,13
6,12
6,10
5,11
7,13
8,14
9,13
9,11
8,10
7,11
8,12
7,9
8,8
8,6
11,9
10,10
9,9
9,7
10,6
11,7
10,8
11,5
11,3
10,4
9,5
8,4
9,3
10,2
9,1
8,2
8,0
9,-1
9,-3
8,-4
8,-2
10,0
11,1
11,-1
11,-3
10,-2
10,-4
11,-5
11,-7
10,-8
9,-7
9,-5
10,-6
8,-6
8,-8
7,-9
9,-9
10,-10
10,-12
9,-13
8,-12
9,-11
8,-10
8,-14
7,-15
6,-10
7,-11
7,-13
6,-14
5,-13
5,-11
6,-12
6,-16
5,-17
4,-18
4,-16
5,-15
4,-12
4,-14
3,-15
2,-14
3,-13
2,-16
3,-17
3,-19
2,-20
1,-19
1,-17
2,-18
1,-15
0,-16
-1,-15
-1,-17
0,-18
0,-20
-1,-21
-1,-19
-2,-14
-2,-16
-3,-17
-4,-16
-4,-14
-3,-13
-3,-15
-2,-18
-2,-20
-3,-19
-4,-18
-5,-15
-5,-17
-6,-16
-7,-15
-6,-14
-4,-12
-5,-13
-6,-12
-6,-10
-5,-11
-7,-11
-7,-13
-8,-14
-9,-13
-9,-11
-8,-10
-8,-12
-7,-9
-8,-8
-8,-6
-9,-9
-9,-7
-10,-8
-10,-10
-11,-9
-11,-7
-10,-6
-8,-4
-9,-5
-10,-4
-10,-2
-9,-1
-8,-2
-9,-3
-11,-5
-11,-3
-10,0
-11,-1
-11,1
-11,3
-10,2
-8,0
-9,1
-9,3
-8,4
-8,2
-10,4
-11,5
-11,7
-10,8
-9,7
-9,5
-10,6
-8,6
-8,8
-7,9
-9,9
-10,10
-10,12
-9,13
-8,12
-8,10
-9,11
-6,10
-7,11
-7,13
-6,14
-5,13
-5,11
-6,12
-8,14
-7,15
-5,15
-6,16
-5,17
-4,18
-4,16
